ticker_observado,emissor_id,setor,subsetor,segmento,fonte,data_fonte,evidencia,estabilidade_documentada,validade_inicio,validade_fim,confianca,status_revisao
COGN3,COGN,Consumo Cíclico,Diversos,Serviços Educacionais,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=COGN; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2019-10-11,2026-07-27,alta,confirmado
CPFE3,CPFE,Utilidade Pública,Energia Elétrica,Energia Elétrica,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=CPFE; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
CPLE3,CPLE,Utilidade Pública,Energia Elétrica,Energia Elétrica,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=CPLE; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
CPLE6,CPLE,Utilidade Pública,Energia Elétrica,Energia Elétrica,B3 classificação setorial 15/09/2022 + CVM/FCA,2022-09-15,B3 código=CPLE; snapshot sha256=6127B9F03E2D; atividade histórica FCA revisada,sim,2015-01-02,2025-11-07,alta,confirmado
CRFB3,CRFB,Consumo não Cíclico,Comércio e Distribuição,Alimentos,B3 classificação setorial 15/09/2022 + CVM/FCA,2022-09-15,B3 código=CRFB; snapshot sha256=6127B9F03E2D; atividade histórica FCA revisada,sim,2017-07-20,2025-05-30,alta,confirmado
CSAN3,CSAN,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=CSAN; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
CSMG3,CSMG,Utilidade Pública,Água e Saneamento,Água e Saneamento,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=CSMG; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
CSNA3,CSNA,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=CSNA; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
CTIP3,CTIP,Financeiro,Serviços Financeiros Diversos,Serviços Financeiros Diversos,https://repositorio.ufpb.br/jspui/bitstream/123456789/1880/1/GKBG30082017.pdf | https://pco.uem.br/0-arquivos/dissertacoes/2018_mara-cristina-piovesan-cortezia.pdf,2026-08-07,documento indicado registra CTIP3 em Financeiro / Serviços Financeiros Diversos / Serviços Financeiros Diversos; identidade e atividade reconciliadas com FCA/CVM,sim,2015-01-02,2017-03-29,alta,confirmado
CURY3,CURY,Consumo Cíclico,Construção Civil,Incorporações,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=CURY; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2020-09-21,2026-07-27,alta,confirmado
